rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"10264","43D0185K","updated","/products/parts/43d0185k.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/2178/27532/20003739__33320.1536269938.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-vermont-castings-tube-43d0185k-p/43d0185k.htm"
"10265","37D0360","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/vermont-castings-46-injector-ng-37d0360-p/37d0360.htm"
"10266","SRV2372-077","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-refractory-assembly-srv2372-077-p/srv2372-077.htm"
"10267","2-00-06471B","updated","/products/parts/2-00-06471b.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/36464/58739/2-00-72140A-01__01391.1676309540.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/harman-hopper-heat-shield-2-00-06471b-p/2-00-06471b.htm"
"10268","20305915","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/monessen-kw30-r-log-7-20305915-p/20305915.htm"
"10269","SRV4048-115","updated","/products/parts/srv4048-115.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/33359/61303/SRV4048-242-01__00037.1693355781.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heatilator-reveal-series-left-baffle-srv4048-115-p/srv4048-115.htm"
"10270","DW-113-5008","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/hht-driftwood-log-8-dw-113-5008-p/dw-113-5008.htm"
"10271","SRV4137-130","updated","/products/parts/srv4137-130.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41189/60911/SRV4137-109-01__87675.1691104306.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/monessen-access-cover-36-srv4137-130-p/srv4137-130.htm"
"10272","LOGS-BI30-B","updated","/products/parts/logs-bi30-b.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/23391/52022/HEATER-BI30-B-1__01055.1626644032.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/simplifire-sf-bi30-eb-log-grate-assembly-logs-bi30-b-p/logs-bi30-b.htm"
"10273","DW-113-5033","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/hht-driftwood-log-33-dw-113-5033-p/dw-113-5033.htm"
"10274","370-159A","updated","/products/parts/370-159a.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/2528/4338/2166-370-2__90328.1493898997.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heat-n-glo-gem36-glass-bars-with-flanges-assembly-370-159a-p/370-159a.htm"
